"cond","SID","survey_name","item","value","article_number","content","article_cond"
"social","s139","comment","2","Low impact sports may be putting too little pressure on bones.",98,"health","control"
"social","s140","comment","2","Because they care about climate change and this would interest them.",95,"climate","social"
"self","s141","comment","2","Because i want to stay healthy as possible.",18,"health","self"
"self","s143","comment","2","cleaning products are so expensive and less effective.",47,"climate","control"
"self","s145","comment","2","The relationship between obesity in children and their parents.",92,"health","control"
"self","s146","comment","2","S.U.V.s are gaining popularity around the world. This article claims that this is not good for the climate.",103,"climate","control"
"self","s147","comment","2","It matters to me because this is happening in the world that we are living in and will affect my life and other people's lives.",15,"climate","self"
"self","s149","comment","2","If I wanna to lose my weight means I should do exercise regularly.",78,"health","self"
"social","s150","comment","2","It's about a legal movement to change the endangered species act and the responses from critics.",89,"climate","control"
"self","s151","comment","2","Natural disasters are horrible and so sad to experience. If there is a way to help the citizens and the cities that were affected, it should be spent. Efforts to aid is the greatest of relief. There should be no lingering pain after enduring a natural disaster.",13,"climate","self"
"social","s153","comment","2","This article speaks to people I know that are going gluten free.",66,"health","social"
"self","s155","comment","2","The Senate has approved to drill in Arctic Wildlife.",61,"climate","control"
"social","s156","comment","2","This article is about what can be recycled and what shouldn't. It informs us about what we can throw in the  recycling bin and what is doing more harm than good when we are putting it in there with the recyclables.",69,"climate","control"
"self","s157","comment","2","I have no any idea this time.",11,"climate","self"
"social","s159","comment","2","WASTING FOOD PROVIDE HELPLESS PEOPLE'S",20,"health","control"
"self","s160","comment","2","this article is about how some countries are still continuing mining for coals even though there are risks",43,"climate","control"
"self","s161","comment","2","ARTICLE IS ABOUT THE COURT DISMISSES THE EXXON'S EFFORT TO BLOCK CLIMATE IVESTIGATION",3,"climate","control"
"social","s163","comment","2","On the one hand, it certainly will help lower the price of automobiles but on the other it could actually cause higher bills for the consumer/end-user as we'll all be filling up more frequently.",29,"climate","social"
"social","s166","comment","2","The article is about garbage and how it is piling up in the Pacific Ocean between California and Hawaii.",79,"climate","control"
"self","s167","comment","2","Global warming may destroy important ancient places in the Mediterranean.",85,"climate","control"
"self","s168","comment","2","This is an article about cutting polution.",107,"climate","control"
"social","s170","comment","2","this article may help them in their daily diet routine",68,"health","social"
"self","s172","comment","2","Algae blooms are suffocating wildlife in the ocean.",39,"climate","control"
"social","s177","comment","2","People I know care about food waste and sustainability.",20,"health","social"
"self","s178","comment","2","Too many of the children in my life complain about feeling sluggish in the morning.  A program like this would definitely help them break through that.",86,"health","self"
"self","s184","comment","2","Hearing loss can lead to accidents because of not properly hearing warnings.",90,"health","control"
"social","s185","comment","2","This article matters to people I know because recycling and consequently garbage disposal is a very important issue for our entire planet.",49,"climate","social"
"self","s186","comment","2","It may be more effective for weight loss than longer less intense workouts, a study suggests.I willing to read the article.",58,"health","control"
"self","s187","comment","2","The garbage patch floating between California and Hawaii is growing rapidly and is currently at about 87,000 tons of plastic.",79,"climate","control"
"social","s189","comment","2","An important reminder than although fossil fuels might be on their way out in some places, they are still relied upon heavily in many parts of the world.",21,"climate","social"
"social","s191","comment","2","Reason for over weight gaining",78,"health","control"
"self","s192","comment","2","This is about the pros and cons of plastic or paper bags.",57,"climate","control"
"self","s193","comment","2","Having a good immunity power can control from colds and other flu and have a good healthy habits too.",100,"health","control"
"self","s194","comment","2","Early ways to combat climate change are interesting because they teach us about today",37,"climate","self"
"self","s195","comment","2","It helps me realize the government is a scam.",49,"climate","self"
"self","s196","comment","2","It is about how the Ancient Egyptian leaders successfully warded off the climate disaster.",37,"climate","control"
"social","s197","comment","2","It's good hear , i take this as a message and will pass it other people i know",60,"health","social"
"self","s198","comment","2","This is about the motivate the energy provider, reporter, activists and world leaders.",83,"climate","self"
"self","s200","comment","2","Article is about the coal mine",43,"climate","control"
"social","s201","comment","2","Many of us have parents that are just starting to suffer the effects of that arterial plaque. We need to encourage them to make healthy choices and be good examples ourselves.",84,"health","control"
"self","s202","comment","2","Breast cancer is a very dangerous disease",52,"health","control"
"social","s204","comment","2","I know some people in California who need more reasons to get out of California.",17,"climate","social"
"social","s205","comment","2","This is interesting and hopeful for people who may benefit from it.",74,"health","social"
"social","s206","comment","2","Climate only change the every situation for survival for humans",87,"climate","control"
"self","s207","comment","2","Here's why we should be making our own renewable energy!",1,"climate","control"
"self","s208","comment","2","red meat and white meat had the same effect of bad cholestrol",50,"health","control"
"social","s210","comment","2","Understanding what gut bacteria could possibly make you run faster and the science behind it.",72,"health","social"
"self","s211","comment","2","The article has 6 reasons why people might be approaching recycling wrong and details how common misconceptions about recycling might cause people to be more optimistic about recycling than reality warrants",69,"climate","control"
"self","s212","comment","2","Climate lawsuits limited",105,"climate","control"
"social","s214","comment","2","we need to work together to get climate under control",41,"climate","social"
"social","s215","comment","2","This makes a lot of sense - sharing meals is a big part of a relationship!",96,"health","social"
"social","s216","comment","2","It is about forest and wild fires because of global warming.",17,"climate","social"
"self","s217","comment","2","I had been wondering how I could help my immune system in this 2020 climate.",100,"health","self"
"social","s218","comment","2","It should increase the oxygen level and helps human life",51,"climate","social"
"self","s219","comment","2","Exxon's effort to block climate investigation was dismissed by a federal judge.",3,"climate","control"
"social","s222","comment","2","Sweet dreams, sweet spot(spät), sweet as pie(pī), sweet young thing: All have a positive connotation(ˌkänəˈtāSHən). But what about sweet tooth, which Americans seem to have cultivated(ˈkəltəˌvādəd) to great excess(ikˈses,ˈekses)? The health effects(əˈfekt) of this obsession(əbˈseSHən) with everything sweet are anything but positive.",4,"health","social"
"self","s223","comment","2","This article matters to me personally because I want to do what I can now to ensure that the planet is inhabitable for future generations.",83,"climate","self"
"self","s224","comment","2","Certain heart risks symptoms are shown to increase risk of Parkinson's.",82,"health","control"
"social","s227","comment","2","this article is about Deli Meats which is a processed meat",28,"health","control"
"self","s230","comment","2","Americans are saving energy by staying home, but with a tech-fueled lifestyle I would be watching more TV, using the internet more and a greater us of heating. So energy savings may not occur.",33,"climate","self"
"self","s234","comment","2","I remember what it was like to feel sleepy and droopy in the morning.",86,"health","self"
"social","s235","comment","2","Calling action skills and drawing the necessary weapons  It shows very clearly all the actions including the advice of the doctors",82,"health","social"
"social","s236","comment","2","This article is about highlights from a meeting concerning climate and tips on how to reduce wasting food over the holiday",11,"climate","control"
"self","s237","comment","2","WILD LIFE OIL GAS AND OIL EXPLORATION",61,"climate","self"
"self","s242","comment","2","It helps keep me aware of the current state of the weather.",91,"climate","self"
"self","s243","comment","2","Are you an aspirational recycler? See below the common mistakes of hope people make",69,"climate","control"
"social","s246","comment","2","This article is about how certain products, like deodorant and perfume, contribute to pollution.",107,"climate","control"
"self","s248","comment","2","This action will create some kind of motivation to protect our environment. Now a days Land conservation became sensational topic due to its importance in environment protection",19,"climate","self"
"social","s249","comment","2","people I know love nature and care about our environment",99,"climate","social"
"self","s250","comment","2","This article is about a girl who is popularly known as 'Invisible Girl'.",65,"climate","control"
"social","s251","comment","2","This article is about skipping breakfast before excercising to lose weight.",0,"health","control"
"social","s255","comment","2","How different types of meats may affect your bad cholesterol levels.",50,"health","control"
"social","s257","comment","2","cooking  and eating vegetables are good for health",42,"health","social"
"self","s258","comment","2","Side effects of supplements for various purpose.",10,"health","control"
"social","s259","comment","2","This article is about to ban the drink to save the peoples health",94,"health","control"
"self","s260","comment","2","This article is about climate change and the fact people are not buying insurance.",53,"climate","control"
"social","s261","comment","2","China not recycling foreign garbage anymore, and thus, Americans recycling is just being dumped",49,"climate","control"
"self","s262","comment","2","People should always carry flood insurance no matter the cost.",53,"climate","control"
"social","s265","comment","2","Wildfires aren't happening in the usual places due to climate change. Daunting new evidence that climate change is here and makes us ask what we can do right now.",7,"climate","social"
"self","s268","comment","2","Because it is about a company that really wants more for it self and does not care for people like me and my health.",43,"climate","self"
"social","s270","comment","2","This is about to create aware among people to reduce the usage of plastics",57,"climate","control"
"self","s273","comment","2","i want my child to eat healthy and care about their growing and health",2,"health","self"
"social","s274","comment","2","It is very important one and useful for people",5,"climate","social"
"social","s275","comment","2","My friends that are afraid to exercise might like this :)",58,"health","social"
"self","s276","comment","2","It was about the wild fire was affecting the more acres in california and it was a huge loss of the lands.",17,"climate","control"
"self","s277","comment","2","they are making ads about global warming",95,"climate","control"
"self","s278","comment","2","This is a good article discussing what our landscape may look like in the future due to rising sea levels. Imagining land that is currently above water being underwater in the future is frightening! I am curious what the start-up company is that is trying to identify the risks.",59,"climate","control"
"social","s279","comment","2","This article is about eating fish is healthy for children",30,"health","control"
"self","s280","comment","2","It matters to me because I'd like to know if my descendants will be affected.",59,"climate","self"
"self","s281","comment","2","I’ve been having trouble losing weight. Maybe my breakfast is part of the problem!  I think I will try this strategy next week.",0,"health","self"
"social","s283","comment","2","its about how to avoid wastage",20,"health","control"
"self","s287","comment","2","It matters to me because it shows how if you prepare early you can ward off disasters.",37,"climate","self"
"self","s288","comment","2","A cancer doctor who has cancer becomes an entrepreneur selling his solution for beating his cancer.",24,"health","control"
"social","s292","comment","2","There's way more plastic in the Pacific Ocean than previously thought.",79,"climate","control"
"social","s294","comment","2","because when we are ageing our body part become weak.",76,"health","control"
"social","s295","comment","2","Because air pollution affects everyone.",103,"climate","social"
"self","s297","comment","2","My mom has had cancer twice in her life, I’m glad there are so many intelligent people who devote their lives to finding cures.",24,"health","self"
"social","s299","comment","2","Because people I know care about well-being of people around the world as well as fairness and justice in society.",21,"climate","social"
"social","s300","comment","2","using the opportunity to look for solutions for people with climate problems.",59,"climate","social"
"self","s301","comment","2","It isn't necessary to always compete with one another.",62,"health","self"
"social","s303","comment","2","Belly fat lost is very important. It's very important health improvement",94,"health","social"
"self","s305","comment","2","I try to avoid sugar so seeing how it is beneficial is nice.",94,"health","self"
"social","s307","comment","2","we all need to protect the environment",9,"climate","social"
"self","s308","comment","2","I am not a fan of processed meats!!",52,"health","self"
"self","s311","comment","2","This article matters to me because maybe antioxidants and other supplements don't actually help the way we think they do, and they might be a waste of money.",40,"health","self"
"self","s313","comment","2","I have abdominal obesity.",82,"health","self"
"self","s314","comment","2","I believe it is important to take care of one's health and keeping up with new medical developments and findings is one part of doing just that.",22,"health","self"
"social","s316","comment","2","The article focuses on misinformation related to the climate change debate.",77,"climate","social"
"self","s318","comment","2","Lawsuits have been filed in Colorado against oil and gas giants, something that used to only be done on the coast.",105,"climate","control"
"self","s319","comment","2","This news was very helpful",75,"climate","self"
"self","s320","comment","2","It is very useful to peoples",40,"health","self"
"self","s321","comment","2","This article is about lifestyle",84,"health","control"
"social","s322","comment","2","This is relevant to people I know who live near the ocean on the coast, as well as people I know who are looking for worthwhile investments that could have large returns.",59,"climate","social"
"self","s324","comment","2","Because I an 56 and am slowly slowing down.",76,"health","self"
"social","s326","comment","2","Health conscious is needed one for every human. This article is about being fit by following good habits avoid smoking will ensure our long life it sense in a moral",16,"health","control"
"social","s327","comment","2","relate to cooking as every day essential work revolved",42,"health","social"
"social","s328","comment","2","I think that a lot of people feel they can eat a lot more white meat and think that it's healthy.",50,"health","social"
"social","s329","comment","2","Sugar is extremely BAD for you in multiple ways.",4,"health","control"
"self","s330","comment","2","I worry about my health and keeping my body safe from cancer and other diseases.",22,"health","self"
"self","s331","comment","2","Workout is make us fit and healthy.",76,"health","control"
"social","s335","comment","2","so people get educated on controling their diet when they eat",78,"health","social"
"self","s337","comment","2","This is primarily an attack on my home state, California, which was granted a waiver for decades to control pollution. Pollution is linked to health problems and increased risk of death, and rolling back emissions standards would affect me personally.",29,"climate","self"
"social","s338","comment","2","My dad owns an S.U.V. so he may be a bit environmentally conscious to this fact.",103,"climate","social"
"social","s344","comment","2","This is very inspiring. I admire her courage, she is an advocate of Global climate change and she is bent on achieving her cause.",65,"climate","control"
"self","s345","comment","2","I really want to know what benefits could possibly come from ""lab-grown meat"".",81,"climate","self"
"social","s348","comment","2","Climate change will bring doom on earth",99,"climate","control"
"social","s349","comment","2","studying rising ocean levels and affects on land",59,"climate","control"
"social","s352","comment","2","Minimising the impact of climate change which will reduce land been underwater.",59,"climate","control"
"social","s353","comment","2","This article is about Plastic wastages.",79,"climate","control"
"self","s358","comment","2","It was very useful health tip",6,"health","control"
"self","s360","comment","2","Eating fish makes children and pregnant women to got healthy. Fish contains some great protein contents. It makes the baby's brain cells to work faster.",30,"health","self"
"social","s361","comment","2","I have a very dear friend who is vegan, and an article like this might be relevant to his interests.",26,"health","social"
"social","s363","comment","2","It matters to people watching their weight and health condition that like sweets.
It's about the consequences of eating sweets.",4,"health","control"
"social","s364","comment","2","Being fat and overweight is dangerous and can lead to a shorter life.",108,"health","control"
"self","s368","comment","2","The article is about climate change such as global warming.",9,"climate","control"
"self","s371","comment","2","My sexual function may be getting worse, but not bad enough to take these dangerous supplements.",10,"health","self"
"social","s372","comment","2","Seems that members of the E.U. have failed to justify why a proposal to reduce carbon emissions from coal in the next 30 years as eastern countries are not for it.",41,"climate","control"
"self","s373","comment","2","Staying safe and having a good economy is the key to future success.",9,"climate","self"
"self","s375","comment","2","First and foremost, the air pollution in my large city is obvious both by sight, smell and effects on the eyes and the upper and lower respiratory systems. A lot of it is caused by cars and when you are behind cars in rush hour or behind diesel trucks, you can really smell and see the impacts. Second, it would help clean the Air for all Living Things.",73,"climate","self"
"social","s380","comment","2","Only buy food you plan on preparing on the same day.",20,"health","control"
"social","s386","comment","2","it matters because it can inform people about the immune system",100,"health","social"
"self","s387","comment","2","record breaking heat in June
",91,"climate","control"
"social","s390","comment","2","physical activities very good for brain",14,"health","social"
"self","s394","comment","2","exercise is good for me and every human health",18,"health","control"
"social","s395","comment","2","this article is about the livelihoods and Endangered species act.",89,"climate","control"
"social","s396","comment","2","Lost belly fat and showed metabolic benefits.",94,"health","social"
"social","s399","comment","2","Exercising can cause people to gain weight because they eat more.",78,"health","control"
"social","s400","comment","2","Effect on Plaques in Arteries due to lifestyle changes.",84,"health","control"
"self","s401","comment","2","Energy saving is a good thing but the headline of the article is very straight to say",33,"climate","self"
"self","s402","comment","2","Dogs always stress busters, it may be with us in every situations like a friend",38,"health","self"
"social","s403","comment","2","children and adults protest for climate change",109,"climate","control"
"social","s406","comment","2","People I know care about their future and want to be prepared for issues that will effect them now and later.",53,"climate","social"
"self","s411","comment","2","environment is very important one  for us  and it represent only one many significant area wildfires are currently burning the world so i has a lot of fears and climate changes is exacerbating danger",7,"climate","control"
"self","s412","comment","2","obesity was high risk of  heart disease  .so daily excesise and diet control most important",108,"health","control"
"self","s414","comment","2","There was a big disagreement on how to handle the Arctic at a climate change talk with the council. They are trying to protect the environment from damage.",35,"climate","control"
"self","s415","comment","2","This should not be encouraged. save some areas without industrialization",61,"climate","self"
"self","s418","comment","2","It matters to me personally because I need to keep healthy to avoid sleep apnea.",106,"health","self"
"self","s419","comment","2","parents making their kids fat",92,"health","control"
"social","s420","comment","2","Yes tomatoes and spinach will improve the nutrient level while cooking",42,"health","social"
"self","s421","comment","2","I am glad that the natural beauty and habitat for wildlife is being preserved for generations to come.",19,"climate","self"
"self","s422","comment","2","Why the world keeps burning coal despite the risk the practice poses for the future could be explained by the story of a mining project in Australia.",43,"climate","control"
"social","s423","comment","2","Climate change will impact everyone's life in the future.",5,"climate","social"
"self","s425","comment","2","I need to keep myself informed on the science related to our changing climate.",11,"climate","self"
"self","s432","comment","2","This article is about what car manufacturers think about climate change.",71,"climate","control"
"self","s434","comment","2","this article is chef tom colicchio cook for tonight .",20,"health","control"
"social","s435","comment","2","This sounds a like a life changing proposal and it is important to spread it so people can learn about a better future is being planned and how to act in order to achieve it.",73,"climate","social"
"social","s436","comment","2","Old competitive racers unable to run like his teen age.",76,"health","social"
"self","s437","comment","2","scientist is the most believable persons this is reading very feel",101,"climate","control"
"self","s439","comment","2","The article is about genetically modified organisms which far too many people have not been sufficiently educated to make an opinion one way or another.",102,"health","control"
"social","s442","comment","2","Disposable cleaning products like wipes and toilet wands are popular. no bargaining in this product. there is no convenience.",47,"climate","control"
"self","s444","comment","2","This article is about cancer",24,"health","control"
"self","s445","comment","2","smoking causes danger",16,"health","self"
"self","s446","comment","2","I enjoy both meats. I am not worried about my cholesterol but it might interesting to read about the same levels in the two.",50,"health","self"
"social","s448","comment","2","It matters because, as a resident of the planet, I need to know that everything that can be done is being done to protect the natural environment. I need to know if my government is acting in accordance with the needs of the planet, so that I can vote accordingly.",35,"climate","social"
"self","s449","comment","2","This article is about the causes of Parkinson's Disease.",82,"health","control"
"self","s450","comment","2","Young people are protesting to raise action about climate change.",27,"climate","control"
"social","s453","comment","2","this article is about weight associated cancer rating",54,"health","control"
"social","s454","comment","2","New children's new book on healthy eating.",2,"health","social"
"self","s456","comment","2","climate change is important in this election",75,"climate","control"
"self","s457","comment","2","This article is about a study that was done that showed that cardio workouts can decrease the chances of developing dementia.",34,"health","control"
"social","s460","comment","2","People I know are very interested in the best ways to lose weight safely and effectively.",6,"health","social"
"social","s462","comment","2","Climate lawsuits are moving inland in the US.",105,"climate","control"
"social","s463","comment","2","this would encourage to people to exercise enough",56,"health","social"
"social","s466","comment","2","Climate change is making storms worse and the government is not helping.",13,"climate","control"
"social","s467","comment","2","Age is not the factor its just a number. We live for long days we must fit.",76,"health","control"
"social","s470","comment","2","about a quick 13 minute way to do strength training.",48,"health","control"
"self","s471","comment","2","This article is about kidney stones and what foods one should not eat if they want to avoid getting stones.",46,"health","control"
"social","s473","comment","2","wildfire causes by invasive grasses",63,"climate","control"
"self","s475","comment","2","I have a lot of compassion for animals.",77,"climate","self"
"self","s478","comment","2","I feel that this is kind of weather information which gives some positive news about the climate. So it matters to me personally.",83,"climate","self"
"social","s479","comment","2","Bananas actually contain more carbs than sports drinks which help fuel exercise",68,"health","control"
"self","s481","comment","2","It's about how exercise can keep you young.",18,"health","control"
"self","s482","comment","2","This matters to me because if the European Union does not curb and eventually halt the use of fossil fuels, this will contribute greatly to global warming.  Twenty-eight countries take up a huge area of land and population, so it's important that this Union (and everyone else on the planet) does everything it can to halt the use of fossil fuels, especially coal.  A plan should be put into action that would replace the use of coal in eastern European countries with clean energy.  The survival of the planet matters to me personally.",41,"climate","self"
"self","s483","comment","2","Looks like banning sugary drinks is having the desired effect.",94,"health","control"
"social","s485","comment","2","Antioxidants don't help muscle soreness after exercise",40,"health","control"
"self","s487","comment","2","Article is about cholesterol levels",50,"health","control"
"social","s488","comment","2","construction in flood zones",23,"climate","social"
"self","s490","comment","2","This article is about kidney stone prevention.",46,"health","control"
"social","s492","comment","2","There is a lot of money available that isn't being spent quickly enough to aid with disasters and the problem is just going to get worse because of climate change.",13,"climate","control"
"self","s493","comment","2","Global warming is happening, but the good news is that they are getting better at evacuating",15,"climate","control"
"social","s494","comment","2","Eating method for life time",96,"health","social"
"social","s495","comment","2","Honestly i dont know how the contents of this specific article would matter or be relevant to anyone in my social circle. Perhaps if I knew they were a fan of the skier that is mentioned i would relay the article to them",5,"climate","social"
"self","s496","comment","2","good for coal researchers. good one to be known",21,"climate","control"
"social","s497","comment","2","I think this article matters to many people, including those I know because it highlights the impact of two things: misinformation and climate change.",77,"climate","social"
"social","s498","comment","2","The Trump administration, Senate Republicans and Lobbyists are trying to weaken the endangered species act in hopes of some economic gain.",89,"climate","control"
"self","s499","comment","2","create awareness to the people not to build in flood area zones",23,"climate","self"
"social","s502","comment","2","Its a victory for climate protection, for the environment. I think this particle matters because we must all try to protect the environment.",3,"climate","social"
"self","s504","comment","2","This article is about how carrying excess weight around on your body contributes to an increase in cancers. The largest increase was seen in the South, Midwest, Alaska and Washington D.C.",54,"health","control"
"social","s505","comment","2","This article lets the readers explore a quick yet effective exercise to build strength, based on a recent study.",48,"health","control"
"social","s506","comment","2","SUVs are selling at increasing rates in China, Australia, and Europe which could be bad for the climate.",103,"climate","social"
"self","s507","comment","2","I want my children to be able to see as many types of animals as possible and if we can preserve some species, we should.",77,"climate","self"
"self","s512","comment","2","I eat meat and it's important to know the effects",50,"health","self"
"social","s513","comment","2","This article appears to include information on automaker's perspective on climate change and possibly indicates they are changing their stance",71,"climate","control"
"self","s514","comment","2","I am always trying to get the most nutrients out of my veggies!",42,"health","control"
"self","s515","comment","2","Recycling a coffee cups or greasy pizza boxes would be very creative and innovation.",69,"climate","self"
"social","s516","comment","2","everybody need to know about climate change",97,"climate","social"
"social","s517","comment","2","The Article is about climate change",7,"climate","control"
"self","s520","comment","2","This article is about a climate based Tech conference for technology and business leaders discussing about various topics, from big data to lab-grown meat to governor positions.",81,"climate","control"
"self","s522","comment","2","It should probably matter to everyone. Who doesn't want to gain strength in just a few minutes per day?",48,"health","self"
"self","s526","comment","2","It matters because it seems very relatable to today.",37,"climate","self"
"self","s527","comment","2","How we walk depends on who we are with",36,"health","control"
"social","s529","comment","2","We really don't have to slow down too much as we get older.",76,"health","social"
"self","s530","comment","2","plastic bags are not safe to the earth",57,"climate","control"
"social","s531","comment","2","We can hope for certain area harder than others!",59,"climate","control"
"self","s532","comment","2","It says dogs are our best friend and they relieve stress. so we probably could sleep better.",38,"health","control"
"social","s533","comment","2","everyone uses plastics and need to be careful on how to dispose of it to make sure to lessen the effect to the environment.",67,"climate","social"
"self","s535","comment","2","This article is about the resurgence in popularity of S.U.V.'s and the effects of their usage on the environment.",103,"climate","control"
"self","s537","comment","2","It means to me that technology helps us in many ways today.  It may not be picture perfect though.",33,"climate","self"
"self","s538","comment","2","The article cites several lifestyle changes that can decrease the risk of heart attack including diet, exercise, managing stress and quitting smoking.",84,"health","control"
"social","s540","comment","2","Exercising gives you as much benefit health wise as not smoking cigarettes.",16,"health","control"
"social","s541","comment","2","This matters to people i know because many people i know are athletes.",40,"health","social"
"self","s543","comment","2","Research data about walking",36,"health","control"
"self","s544","comment","2","My Society have an deadly disease called cancer. So this article matters me personally",104,"health","self"
"social","s545","comment","2","Climate Change is getting the political attention that it deserves.",95,"climate","control"
"social","s546","comment","2","Climate change is happening but people aren't buying floor insurance.",53,"climate","control"
"social","s547","comment","2","This would matter because a lot of people I know have dogs, and they might be interested in it.",38,"health","social"
"social","s548","comment","2","People must knows the world leaders.",83,"climate","social"
"social","s551","comment","2","we need to take care of our environment",85,"climate","control"
"social","s552","comment","2","This is important to everyone because car emissions is affecting climate change. Everyone should pay attention to this.",29,"climate","social"
"social","s553","comment","2","With the oil majors unable to block the investigation, we may finally get answers!",3,"climate","control"
"social","s554","comment","2","Because we can protect the environment by knowing this alternatives",47,"climate","social"
"self","s555","comment","2","it is about killing florida wildlife",39,"climate","control"
"social","s558","comment","2","Climate change will impact the US economy.",9,"climate","control"
"social","s559","comment","2","ii is about that climates",99,"climate","control"
"self","s561","comment","2","Plants imply vegetarianism which is good. What are flavinoids?",22,"health","self"
"social","s563","comment","2","Somebody has created a tool to make high intensity workouts less stressful to the body.",58,"health","control"
"social","s567","comment","2","I worry about the females in my life that eat too much processed meat.",52,"health","social"
"self","s568","comment","2","Climate changes affects each and every aspects of people , also to companies which were engaged in production and manufacturing and relevant to environment. It affects the economic situation of companies which in turn affects their employees also.",87,"climate","self"
"social","s570","comment","2","This article matters to people like me because I do not want to be fat.",6,"health","social"
"social","s571","comment","2","I've got a few family members that work in the oil industry and they've told me that these emission rules are fairly overbearing and that they'd love to see the government ease up on them.",29,"climate","social"
"self","s572","comment","2","The trash zone between California and Hawaii is much bigger than we thought. A study suggests it's up to sixteen times bigger and growing exponentially. About 87,000 tons of plastic exists in this area.",79,"climate","control"
"social","s574","comment","2","It appears we're learning to deal with the warming crisis through different types of interventions.",15,"climate","control"
"social","s575","comment","2","I have friends who live near wildfires.",63,"climate","social"
"self","s576","comment","2","Some people in my life could be considered obese. I want them around for as long as they can be.",108,"health","self"
"self","s577","comment","2","Young people are having to demand adults stop destroying the world and their future.",109,"climate","control"
"social","s578","comment","2","This article matters to people I know because climate change is a topic that we are all affected by and dealing with. Eliminating food waste is also something my family will want to do during the holidays.",11,"climate","social"
"social","s581","comment","2","Meat can increase the risk of colorectal cancer.",28,"health","social"
"social","s582","comment","2","This is so sad because climate change effects everyone we love in the future",35,"climate","social"
"self","s583","comment","2","surgery drink may good and help to save people, would need to enhance the performance..",32,"health","self"
"self","s584","comment","2","Climate change really needs to be taken more seriously.",91,"climate","self"
"self","s587","comment","2","The environment is money in the bank.",9,"climate","control"
"self","s588","comment","2","Climate change is relevant to me because it effects us all.",71,"climate","self"
"self","s589","comment","2","scientists are trying to help an endangered species of marine mammals.",101,"climate","control"
"social","s592","comment","2","Did this never occur to any of you before?",83,"climate","social"
"social","s593","comment","2","The people should know about the matter, if they go outside from their own country.",70,"health","social"
"social","s594","comment","2","Its about how meats affect our health.",28,"health","control"
"self","s595","comment","2","It is all about recycling plastics and papers in America.",49,"climate","control"
"social","s598","comment","2","This article matters to people I know because switching to a green energy provider is helpful in lowering their bills and helping the environment.",83,"climate","social"
"social","s599","comment","2","climate change is happened in some changes",13,"climate","control"
"self","s600","comment","2","There is still not enough Solar power energy",93,"climate","control"
"social","s602","comment","2","we all want to live longer, and taking tips from people who have proven longevity is a good idea",64,"health","social"
"social","s606","comment","2","fitness is most important to people.",34,"health","social"
"self","s608","comment","2","pertains to overall strategies for optimal health",0,"health","self"
"social","s610","comment","2","Permit from regulators in Queensland to get coal.",21,"climate","control"
"social","s613","comment","2","People are always looking for hope and info about cancer.",24,"health","social"
"self","s615","comment","2","about saving energy and travel less",33,"climate","self"
"self","s616","comment","2","There is no side effects and is is found in 25",10,"health","self"
"social","s618","comment","2","Living in poverty has affected me and my family in the past.",70,"health","social"
"self","s619","comment","2","Climate change strikes",109,"climate","control"
"self","s620","comment","2","A summary of things that happened at the ClimateTech Conference in San Francisco.",81,"climate","control"
"self","s621","comment","2","Being overweight has many consequences including the risk of cancer.",54,"health","control"
"self","s622","comment","2","the story is basically  how a wealthy person could keep three countries for a decade",43,"climate","control"
"social","s623","comment","2","Since the Fetus health is so important, the pregnancy woman have to take vitamin D foods.",60,"health","social"
"self","s624","comment","2","The Senate passed a bill that would protect more than 1,000,000 acres of wilderness for conservation.",19,"climate","control"
"social","s626","comment","2","The article matters to people because they have to be aware of natural causes and the ways it has to be prevented.",61,"climate","social"
"social","s627","comment","2","It's about the side effects of a dietary supplement",10,"health","control"
"self","s628","comment","2","This article is about benefits of solid food.",44,"health","control"
"self","s629","comment","2","I am more involved in environmental issues.",25,"climate","self"
"self","s630","comment","2","It matters a lot because it is about climatic change effects global warming",85,"climate","self"
"social","s631","comment","2","The climate change conditioning continues, this time with more campaign ads.",95,"climate","control"
"social","s634","comment","2","How the pharaohs dealt with drought problems.",37,"climate","control"
"self","s635","comment","2","I have children and I want them to have a happy and healthy future with their environment.",27,"climate","self"
"self","s636","comment","2","I live in an arid region where wildfires happen every summer.",63,"climate","self"
"self","s638","comment","2","Recycling is good thing for entire world right now.",69,"climate","self"
"social","s639","comment","2","Changing the way you live your life through improving exercise and reducing stress, not to mention ones diet and stopping smoking can help you avoid a heart attack.",84,"health","control"
"self","s640","comment","2","This article about the disease of eating disorder...",96,"health","control"
"self","s001","comment","3","I guess if they are harming the environment that I live in then they should be punished for that.",3,"climate","self"
"self","s002","comment","3","climate changes worsen our environment so badly.",63,"climate","self"
"social","s003","comment","3","Explains why even though people exercise they don't lose the weight they want to.",78,"health","control"
"social","s004","comment","3","Since there is no escaping this planet, for now anyway, lets see what kind of tips we can incorporate into our daily lives to chip away at this massive, global problem.",11,"climate","social"
"social","s005","comment","3","Statin drugs to lower cholesterol can lead to a higher risk of staph skin infections.",80,"health","control"
"social","s008","comment","3","This is about important landmarks that may get damaged by global warming",85,"climate","control"
"self","s009","comment","3","I am a young person who is attempting to become a parent in near future",60,"health","self"
"social","s010","comment","3","This article talks about the financial impact of climate change on some of the world's largest companies",87,"climate","control"
"social","s012","comment","3","This article matters to people I know because a lot of them know of someone or has gone through breast cancer.",104,"health","social"
"self","s014","comment","3","This article is about the best dietary choices for weight reduction.",8,"health","control"
